Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
+,3.235884445,1.139130274,Q13555;Q13555-10;Q13555-11;Q13555-2;Q13555-3;Q13555-4;Q13555-5;Q13555-6;Q13555-7;Q13555-8;Q13555-9,Q13555;Q13555-10;Q13555-11;Q13555-2;Q13555-3;Q13555-4;Q13555-5;Q13555-6;Q13555-7;Q13555-8;Q13555-9,KCC2G_HUMAN,CAMK2G
+,1.29302025,1.138961792,P85299;P85299-2;P85299-3;P85299-4;P85299-5,P85299;P85299-2;P85299-3;P85299-4;P85299-5,PRR5_HUMAN,PRR5
+,3.42573462,1.137360255,Q14677;Q14677-2;Q14677-3,Q14677;Q14677-2;Q14677-3,EPN4_HUMAN,CLINT1
+,2.564796205,1.135649999,O15027;O15027-2;O15027-3;O15027-4;O15027-5,O15027;O15027-2;O15027-3;O15027-4;O15027-5,SC16A_HUMAN,SEC16A
+,2.343273715,1.135251999,P27635,P27635,RL10_HUMAN,RPL10
+,3.779651117,1.13316981,P09497-2,P09497;P09497-2,CLCB_HUMAN,CLTB
+,2.935350503,1.132101695,Q9H9A5;Q9H9A5-2;Q9H9A5-3;Q9H9A5-4;Q9H9A5-6,Q9H9A5;Q9H9A5-2;Q9H9A5-3;Q9H9A5-4;Q9H9A5-6,CNO10_HUMAN,CNOT10
+,3.833503711,1.130701701,Q9NXR7,Q9NXR7;Q9NXR7-1;Q9NXR7-3;Q9NXR7-4,BABA2_HUMAN,BABAM2
+,5.083329517,1.129915237,P07814,P07814,SYEP_HUMAN,EPRS1
+,2.593438026,1.128881772,O43379;O43379-4,O43379;O43379-4,WDR62_HUMAN,WDR62
+,5.75062311,1.127450307,Q2M1P5,Q2M1P5,KIF7_HUMAN,KIF7
+,2.771980782,1.12722079,Q9Y366,Q9Y366,IFT52_HUMAN,IFT52
+,3.710489178,1.12699763,Q9NUL3;Q9NUL3-2;Q9NUL3-3;Q9NUL3-4;Q9NUL3-6;Q9NUL3-7;Q9NUL3-8,Q9NUL3;Q9NUL3-2;Q9NUL3-3;Q9NUL3-4;Q9NUL3-6;Q9NUL3-7;Q9NUL3-8,STAU2_HUMAN,STAU2
+,2.094700981,1.123435338,Q9Y5P6;Q9Y5P6-2,Q9Y5P6;Q9Y5P6-2,GMPPB_HUMAN,GMPPB
+,3.433315416,1.122422536,Q9UJC3;Q9UJC3-2,Q9UJC3;Q9UJC3-2,HOOK1_HUMAN,HOOK1
+,3.527664722,1.121593475,Q08752,Q08752,PPID_HUMAN,PPID
+,2.513293515,1.120362282,Q13554,Q13554,KCC2B_HUMAN,CAMK2B
+,4.399027024,1.120147069,Q9UG01,Q9UG01;Q9UG01-2;Q9UG01-3,IF172_HUMAN,IFT172
+,3.190753382,1.117571513,Q96CW5,Q96CW5;Q96CW5-2;Q96CW5-3,GCP3_HUMAN,TUBGCP3
+,3.626651788,1.110057831,Q5JTW2;Q5JTW2-2;Q5JTW2-3;Q5JTW2-5,Q5JTW2;Q5JTW2-2;Q5JTW2-3;Q5JTW2-5,CEP78_HUMAN,CEP78
+,3.153920851,1.108669599,Q9UH03;Q9UH03-2,Q9UH03;Q9UH03-2,SEPT3_HUMAN,SEPTIN3
+,2.76951118,1.108596802,Q6GYQ0;Q6GYQ0-2;Q6GYQ0-5;Q6GYQ0-6;Q6GYQ0-7,Q6GYQ0;Q6GYQ0-2;Q6GYQ0-3;Q6GYQ0-4;Q6GYQ0-5;Q6GYQ0-6;Q6GYQ0-7,RGPA1_HUMAN,RALGAPA1
+,3.823844582,1.107554118,Q9H267,Q9H267;Q9H267-2,VP33B_HUMAN,VPS33B
+,1.793344301,1.107010523,Q8WZ74,Q8WZ74,CTTB2_HUMAN,CTTNBP2
+,2.10347699,1.105747859,O94760;O94760-2,O94760;O94760-2,DDAH1_HUMAN,DDAH1
+,4.273766879,1.10551548,Q9GZT8;Q9GZT8-2;Q9GZT8-3,Q9GZT8;Q9GZT8-2;Q9GZT8-3,NIF3L_HUMAN,NIF3L1
+,4.851142752,1.105236689,P31948;P31948-2,P31948;P31948-2;P31948-3,STIP1_HUMAN,STIP1
+,4.32199715,1.104957581,Q86TU7,Q86TU7,SETD3_HUMAN,SETD3
+,3.521551405,1.103960037,P50502;Q8IZP2,P50502;Q8IZP2,F10A1_HUMAN;ST134_HUMAN,ST13;ST13P4
+,2.870680576,1.102139791,Q9P260-2,Q9P260-2,RELCH_HUMAN,RELCH
+,3.612057063,1.100617727,Q12904;Q12904-2,Q12904;Q12904-2,AIMP1_HUMAN,AIMP1
+,2.104719622,1.098187764,Q96EK5,Q96EK5,KBP_HUMAN,KIFBP
+,1.188742335,1.097551028,Q8N392;Q8N392-2,Q8N392;Q8N392-2,RHG18_HUMAN,ARHGAP18
+,4.496780217,1.095906576,Q08AM6,Q08AM6,VAC14_HUMAN,VAC14
+,2.273656151,1.09566625,Q15404;Q15404-2,Q15404;Q15404-2,RSU1_HUMAN,RSU1
+,3.525930091,1.09469223,Q6SZW1,Q6SZW1;Q6SZW1-2,SARM1_HUMAN,SARM1
+,2.194233452,1.092342377,P35658;P35658-2;P35658-3;P35658-4;P35658-5,P35658;P35658-2;P35658-3;P35658-4;P35658-5,NU214_HUMAN,NUP214
+,1.759471973,1.091900826,Q9NVE5;Q9NVE5-3,Q9NVE5;Q9NVE5-3,UBP40_HUMAN,USP40
+,2.983603622,1.091462453,P23508;P23508-2,P23508;P23508-2,CRCM_HUMAN,MCC
+,3.385495633,1.090526581,Q5VZ89;Q5VZ89-3;Q5VZ89-7,Q5VZ89;Q5VZ89-3;Q5VZ89-5;Q5VZ89-7,DEN4C_HUMAN,DENND4C
+,1.275929463,1.090137482,Q96SN8;Q96SN8-2;Q96SN8-3;Q96SN8-4,Q96SN8;Q96SN8-2;Q96SN8-3;Q96SN8-4,CK5P2_HUMAN,CDK5RAP2
+,3.867357137,1.089352926,P53367,P53367;P53367-2,ARFP1_HUMAN,ARFIP1
+,3.960551511,1.087701797,Q9Y2L5,Q9Y2L5;Q9Y2L5-2,TPPC8_HUMAN,TRAPPC8
+,1.387299554,1.087081909,Q9NWV4,Q9NWV4,CZIB_HUMAN,CZIB
+,1.58228127,1.086799622,P53680,P53680;P53680-2,AP2S1_HUMAN,AP2S1
+,1.220249264,1.08413887,Q6ICB0,Q6ICB0,DESI1_HUMAN,DESI1
+,3.56291904,1.0837485,Q15051,Q15051;Q15051-2;Q15051-3,IQCB1_HUMAN,IQCB1
+,0.833315081,1.083239237,Q9Y3B2,Q9Y3B2,EXOS1_HUMAN,EXOSC1
+,3.403239806,1.081687291,Q9NUQ3,Q9NUQ3,TXLNG_HUMAN,TXLNG
+,2.856082632,1.080425898,O00429;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-8;O00429-9,O00429;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-7;O00429-8;O00429-9,DNM1L_HUMAN,DNM1L
+,2.984657344,1.078484217,Q9UQ80;Q9UQ80-2,Q9UQ80;Q9UQ80-2,PA2G4_HUMAN,PA2G4
+,4.511777496,1.07798322,P49591,P49591,SYSC_HUMAN,SARS1
+,4.143793821,1.077204386,P41252,P41252,SYIC_HUMAN,IARS1
+,2.536531073,1.075962702,O15111,O15111,IKKA_HUMAN,CHUK
+,3.189995378,1.0740846,Q9BPZ7;Q9BPZ7-2;Q9BPZ7-3,Q9BPZ7;Q9BPZ7-2;Q9BPZ7-3;Q9BPZ7-4,SIN1_HUMAN,MAPKAP1
+,4.385631365,1.074057261,E9PAV3;E9PAV3-2;Q13765,E9PAV3;E9PAV3-2;Q13765,NACA_HUMAN;NACAM_HUMAN,NACA
+,1.567396964,1.073017756,Q5T2E6;Q5T2E6-2,Q5T2E6;Q5T2E6-2,ARMD3_HUMAN,ARMH3
+,4.209692661,1.071987788,P62937,P62937,PPIA_HUMAN,PPIA
+,1.09033295,1.070763906,Q08AH3;Q68CK6,Q08AH3;Q68CK6,ACS2A_HUMAN;ACS2B_HUMAN,ACSM2A;ACSM2B
+,1.693705262,1.069134712,P11766,P11766,ADHX_HUMAN,ADH5
+,4.464693434,1.068232218,Q13085;Q13085-2;Q13085-3;Q13085-4,Q13085;Q13085-2;Q13085-3;Q13085-4,ACACA_HUMAN,ACACA
+,1.352348901,1.065981865,Q96RK4;Q96RK4-2,Q96RK4;Q96RK4-2,BBS4_HUMAN,BBS4
+,4.27104477,1.065963109,Q9NWV8,Q9NWV8;Q9NWV8-2,BABA1_HUMAN,BABAM1
+,3.438015017,1.063578606,Q8TDH9,Q8TDH9;Q8TDH9-3,BL1S5_HUMAN,BLOC1S5
+,3.349416725,1.062624613,Q641Q2;Q641Q2-2,Q641Q2;Q641Q2-2;Q9Y4E1;Q9Y4E1-1;Q9Y4E1-2;Q9Y4E1-3;Q9Y4E1-4;Q9Y4E1-5;Q9Y4E1-6,WAC2A_HUMAN,WASHC2A
+,3.225079425,1.060825348,Q15814,Q15814,TBCC_HUMAN,TBCC
+,3.590726881,1.057451884,Q9UJX6;Q9UJX6-2,Q9UJX6;Q9UJX6-2,ANC2_HUMAN,ANAPC2
+,2.974192958,1.05452919,O75175,O75175,CNOT3_HUMAN,CNOT3
+,1.711488095,1.054411888,Q9NZC7;Q9NZC7-2,Q9NZC7;Q9NZC7-2;Q9NZC7-3;Q9NZC7-5,WWOX_HUMAN,WWOX
+,2.753641782,1.053443909,Q9Y285,Q9Y285;Q9Y285-2,SYFA_HUMAN,FARSA
+,2.838714251,1.051451365,Q96LI5,Q96LI5;Q96LI5-2,CNO6L_HUMAN,CNOT6L
+,3.620997666,1.047720591,Q9Y3R0;Q9Y3R0-2,Q9Y3R0;Q9Y3R0-2;Q9Y3R0-3,GRIP1_HUMAN,GRIP1
+,2.285001655,1.04757309,Q9H0J9,Q9H0J9,PAR12_HUMAN,PARP12
+,1.566299031,1.045618057,Q9BYX4,Q9BYX4,IFIH1_HUMAN,IFIH1
+,3.020698778,1.04522419,O75330;O75330-2;O75330-3,O75330;O75330-2;O75330-3;O75330-4,HMMR_HUMAN,HMMR
+,1.823156999,1.044261932,Q8IWA0,Q8IWA0,WDR75_HUMAN,WDR75
+,3.744406944,1.043006897,Q8TCG1,Q8TCG1,CIP2A_HUMAN,CIP2A
+,4.946607301,1.042097092,P08238,P07900;P07900-2;P08238;Q14568;Q58FF8,HS90B_HUMAN,HSP90AB1
+,1.677892825,1.041302681,Q9BV19,Q9BV19,CA050_HUMAN,C1orf50
+,1.000858165,1.040333748,Q9Y575;Q9Y575-3,Q9Y575;Q9Y575-3,ASB3_HUMAN,ASB3
+,2.824040664,1.039670308,Q9NZJ4,Q9NZJ4;Q9NZJ4-2,SACS_HUMAN,SACS
+,1.688252063,1.039222082,Q9H426;Q9H426-2,Q9H426;Q9H426-2,RIMS4_HUMAN,RIMS4
+,3.429235276,1.037492116,O75179;O75179-2;O75179-6,O75179;O75179-2;O75179-3;O75179-4;O75179-5;O75179-6,ANR17_HUMAN,ANKRD17
+,1.907896664,1.037245433,Q9NZ09;Q9NZ09-2,Q9NZ09;Q9NZ09-2;Q9NZ09-3;Q9NZ09-4,UBAP1_HUMAN,UBAP1
+,2.530746025,1.036388079,Q86X27;Q86X27-2;Q86X27-3,Q86X27;Q86X27-2;Q86X27-3,RGPS2_HUMAN,RALGPS2
+,0.972084039,1.036352793,Q9H668,Q9H668,STN1_HUMAN,STN1
+,2.417502469,1.036209742,Q15185;Q15185-4,Q15185;Q15185-3;Q15185-4,TEBP_HUMAN,PTGES3
+,3.384619585,1.03585879,P08243;P08243-2;P08243-3,P08243;P08243-2;P08243-3,ASNS_HUMAN,ASNS
+,3.047859432,1.035758972,Q9BWH6;Q9BWH6-2,Q9BWH6;Q9BWH6-2;Q9BWH6-3,RPAP1_HUMAN,RPAP1
+,3.453606393,1.035584132,O43765,O43765,SGTA_HUMAN,SGTA
+,2.023892433,1.035068512,Q13546,Q13546;Q13546-2,RIPK1_HUMAN,RIPK1
+,4.039654219,1.034486771,Q99543,Q99543;Q99543-2,DNJC2_HUMAN,DNAJC2
+,3.109527484,1.034481049,Q15042;Q15042-3;Q15042-4,Q15042;Q15042-3;Q15042-4,RB3GP_HUMAN,RAB3GAP1
+,6.269066135,1.034306844,Q3LXA3,Q3LXA3;Q3LXA3-2,TKFC_HUMAN,TKFC
+,2.188495441,1.031217575,P42766,P42766,RL35_HUMAN,RPL35
+,5.191165681,1.028319677,P07900;P07900-2,P07900;P07900-2;Q58FG1,HS90A_HUMAN,HSP90AA1
+,3.73746318,1.025166829,Q9NQW7;Q9NQW7-3,Q9NQW7;Q9NQW7-2;Q9NQW7-3;Q9NQW7-4,XPP1_HUMAN,XPNPEP1
+,3.251664386,1.023412704,O00170,O00170,AIP_HUMAN,AIP
+,1.35098479,1.020685196,P62273,P62273;P62273-2,RS29_HUMAN,RPS29
+,2.141994964,1.015913645,Q9H7X7,Q9H7X7;Q9H7X7-2,IFT22_HUMAN,IFT22
+,0.78400511,1.014647166,Q6NSJ5,Q6NSJ5,LRC8E_HUMAN,LRRC8E
+,3.160627562,1.014422099,Q96QF0;Q96QF0-2;Q96QF0-8,Q96QF0;Q96QF0-2;Q96QF0-8,RAB3I_HUMAN,RAB3IP
+,0.988537574,1.012942314,Q9NRH1,Q9NRH1,YAE1_HUMAN,YAE1
+,1.066069664,1.01141421,Q6IPR3;Q6IPR3-2,Q6IPR3;Q6IPR3-2,TYW3_HUMAN,TYW3
+,0.867455556,1.010184606,Q9BV73;Q9BV73-2,Q9BV73;Q9BV73-2,CP250_HUMAN,CEP250
+,2.268616993,1.009192149,Q5VT25;Q5VT25-2;Q5VT25-3;Q5VT25-4;Q5VT25-5;Q5VT25-6,Q5VT25;Q5VT25-2;Q5VT25-3;Q5VT25-4;Q5VT25-5;Q5VT25-6,MRCKA_HUMAN,CDC42BPA
+,1.032629464,1.008591016,Q9NQT8,Q9NQT8,KI13B_HUMAN,KIF13B
+,1.439944415,1.007356962,Q9H1P3;Q9H1P3-2,Q9H1P3;Q9H1P3-2,OSBL2_HUMAN,OSBPL2
+,1.56983723,1.007033666,Q9NZN8;Q9NZN8-2;Q9NZN8-4,Q9NZN8;Q9NZN8-2;Q9NZN8-4;Q9NZN8-5,CNOT2_HUMAN,CNOT2
+,0.838078333,1.006806056,P29350;P29350-3;P29350-4,P29350;P29350-2;P29350-3;P29350-4,PTN6_HUMAN,PTPN6
+,2.198202992,1.006762187,P53671;P53671-2;P53671-3,P53671;P53671-2;P53671-3,LIMK2_HUMAN,LIMK2
+,2.3314431,1.002580961,Q13492;Q13492-2;Q13492-3;Q13492-5,Q13492;Q13492-2;Q13492-3;Q13492-5,PICAL_HUMAN,PICALM
+,2.279401268,1.002134959,P50570-2,P50570;P50570-2;P50570-3;P50570-4;P50570-5;Q9UQ16;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4;Q9UQ16-5,DYN2_HUMAN,DNM2
+,2.193030135,1.000872294,O15182,O15182,CETN3_HUMAN,CETN3
+,2.835666161,1.000769297,P47914,P47914,RL29_HUMAN,RPL29
+,2.221774398,0.99777921,Q96CX2,Q96CX2,KCD12_HUMAN,KCTD12
+,2.486235773,0.99181366,Q86TG7;Q86TG7-4,Q86TG7;Q86TG7-4,PEG10_HUMAN,PEG10
+,3.53777241,0.989613215,P47897,P47897;P47897-2,SYQ_HUMAN,QARS1
+,1.809752344,0.988112132,Q9UPZ3;Q9UPZ3-2,Q9UPZ3;Q9UPZ3-2,HPS5_HUMAN,HPS5
+,1.164242613,0.988031705,O15504,O15504;O15504-2,NUP42_HUMAN,NUP42
+,1.426783873,0.986001333,O75563,O75563,SKAP2_HUMAN,SKAP2
+,5.261651264,0.9843057,Q16181;Q16181-2,Q16181;Q16181-2;Q6ZU15,SEPT7_HUMAN,SEPTIN7
+,2.533499754,0.982872645,Q5T0N5;Q5T0N5-2;Q5T0N5-3;Q5T0N5-4;Q5T0N5-5,Q5T0N5;Q5T0N5-2;Q5T0N5-3;Q5T0N5-4;Q5T0N5-5,FBP1L_HUMAN,FNBP1L
+,3.06295345,0.982049306,Q7Z3B4;Q7Z3B4-3,Q7Z3B4;Q7Z3B4-2;Q7Z3B4-3,NUP54_HUMAN,NUP54
+,3.582431303,0.981826146,Q8TD19,Q8TD19,NEK9_HUMAN,NEK9
+,2.648475915,0.980429967,Q96PU5;Q96PU5-2;Q96PU5-5;Q96PU5-6;Q96PU5-7,Q96PU5;Q96PU5-2;Q96PU5-3;Q96PU5-5;Q96PU5-6;Q96PU5-7,NED4L_HUMAN,NEDD4L
+,0.988211998,0.979773204,Q5VZM2-2;Q7L523,Q5VZM2-2;Q7L523,RRAGA_HUMAN;RRAGB_HUMAN,RRAGA;RRAGB
+,4.324958785,0.978238424,O43149,O43149,ZZEF1_HUMAN,ZZEF1
+,3.610967791,0.978111903,P09496;P09496-2;P09496-3;P09496-4,P09496;P09496-2;P09496-3;P09496-4;P09496-5,CLCA_HUMAN,CLTA
+,4.108283831,0.977802912,Q9UL54-2,Q9UL54-2,TAOK2_HUMAN,TAOK2
+,2.835361362,0.977535248,P04637;P04637-4,P04637;P04637-2;P04637-3;P04637-4;P04637-5;P04637-6;P04637-7;P04637-8;P04637-9,P53_HUMAN,TP53
+,1.478353272,0.976693789,Q460N5;Q460N5-1,Q460N5;Q460N5-1;Q460N5-3;Q460N5-4;Q460N5-5,PAR14_HUMAN,PARP14
+,3.288037498,0.975018183,Q92599;Q92599-2;Q92599-4,Q92599;Q92599-2;Q92599-4,SEPT8_HUMAN,SEPTIN8
+,2.040921599,0.970307668,O43399;O43399-5;O43399-7,O43399;O43399-2;O43399-3;O43399-4;O43399-5;O43399-6;O43399-7,TPD54_HUMAN,TPD52L2
+,3.479826036,0.969715118,Q96K76-4,Q96K76;Q96K76-2;Q96K76-4,UBP47_HUMAN,USP47
+,3.906967671,0.969294866,Q9C0B0,Q9C0B0,UNK_HUMAN,UNK
+,2.540453999,0.968455633,Q8IWZ6;Q8IWZ6-2,Q8IWZ6;Q8IWZ6-2,BBS7_HUMAN,BBS7
+,4.003164517,0.967699687,P42858,P42858,HD_HUMAN,HTT
+,1.861996511,0.966797511,P63172,P63172,DYLT1_HUMAN,DYNLT1
+,0.785308838,0.966079712,Q9BYJ9,Q9BYJ9,YTHD1_HUMAN,YTHDF1
+,4.463772764,0.965071996,P07195,P00338;P00338-2;P00338-3;P00338-4;P00338-5;P07195;P07864;Q6ZMR3,LDHB_HUMAN,LDHB
+,4.043400132,0.964967092,Q96QK1,Q96QK1,VPS35_HUMAN,VPS35
+,2.204060035,0.964574814,P39019,P39019,RS19_HUMAN,RPS19
+,3.375663938,0.963689804,A2RRP1;A2RRP1-2,A2RRP1;A2RRP1-2,NBAS_HUMAN,NBAS
+,3.804395914,0.963306427,Q5VIR6,Q5VIR6,VPS53_HUMAN,VPS53
+,2.089140459,0.962983767,Q9Y450-2,Q9Y450-2,HBS1L_HUMAN,HBS1L
+,1.888152793,0.962694804,Q58A45;Q58A45-2;Q58A45-3,Q58A45;Q58A45-2;Q58A45-3;Q58A45-4,PAN3_HUMAN,PAN3
+,3.599118526,0.962547302,Q9NX38,Q9NX38,ABITM_HUMAN,ABITRAM
+,2.713108329,0.962439219,P20936;P20936-2;P20936-3;P20936-4,P20936;P20936-2;P20936-3;P20936-4,RASA1_HUMAN,RASA1
+,2.475027949,0.961859703,Q8N8A2,Q8N8A2;Q8N8A2-2,ANR44_HUMAN,ANKRD44
+,1.721593499,0.961776098,O96011;O96011-2,O96011;O96011-2,PX11B_HUMAN,PEX11B
+,1.023330848,0.961078962,Q9H765,Q9H765,ASB8_HUMAN,ASB8
+,1.692789401,0.96101443,Q9P107;Q9P107-2,Q9P107;Q9P107-2,GMIP_HUMAN,GMIP
+,2.319966551,0.960398992,P18669,P18669,PGAM1_HUMAN,PGAM1
+,2.451899244,0.958895048,Q6IA69,Q6IA69;Q6IA69-2,NADE_HUMAN,NADSYN1
+,5.301736719,0.957763672,Q9BXC9,Q9BXC9,BBS2_HUMAN,BBS2
+,2.407474444,0.957555135,P16885,P16885,PLCG2_HUMAN,PLCG2
+,2.92267562,0.956489563,Q02878,Q02878,RL6_HUMAN,RPL6
+,2.133681067,0.95605278,Q96HY6,Q96HY6;Q96HY6-2,DDRGK_HUMAN,DDRGK1
+,3.568055178,0.954287847,P08133;P08133-2,P08133;P08133-2,ANXA6_HUMAN,ANXA6
+,2.230124728,0.954015732,P53582,P53582,MAP11_HUMAN,METAP1
+,3.114607213,0.953893026,Q9UJX2,Q9UJX2;Q9UJX2-3,CDC23_HUMAN,CDC23
+,2.863941684,0.953584035,Q6ZSR9,Q6ZSR9,YJ005_HUMAN,
+,3.715768434,0.953532537,Q53HC9,Q53HC9,EIPR1_HUMAN,EIPR1
+,4.793298387,0.952250163,Q01970,Q01970;Q01970-2,PLCB3_HUMAN,PLCB3
+,4.027628164,0.951275508,O00178,O00178,GTPB1_HUMAN,GTPBP1
+,3.160209697,0.950672785,A2RTX5,A2RTX5;A2RTX5-2,SYTC2_HUMAN,TARS3
+,3.005190701,0.950003942,P31689,P31689,DNJA1_HUMAN,DNAJA1
+,0.766905075,0.947387695,Q9NXV6,Q9NXV6,CARF_HUMAN,CDKN2AIP
+,2.885736098,0.944964091,P00491,P00491,PNPH_HUMAN,PNP
+,6.416952251,0.944143295,Q9HC35;Q9HC35-2,Q9HC35;Q9HC35-2,EMAL4_HUMAN,EML4
+,3.799131628,0.943457286,O75665;O75665-3,O75665;O75665-3,OFD1_HUMAN,OFD1
+,3.770916189,0.942955653,P0CAP2;P0CAP2-3,P0CAP2;P0CAP2-3,GRL1A_HUMAN,POLR2M
+,2.684781545,0.94097201,Q6XUX3;Q6XUX3-2;Q6XUX3-3,Q6XUX3;Q6XUX3-2;Q6XUX3-3,DUSTY_HUMAN,DSTYK
+,3.707018023,0.940247854,P21359;P21359-2;P21359-6,P21359;P21359-2;P21359-6,NF1_HUMAN,NF1
+,2.107718414,0.940161387,P61313,P61313;P61313-2,RL15_HUMAN,RPL15
+,6.046236275,0.939652761,P27708,P27708,PYR1_HUMAN,CAD
+,1.384452235,0.939188639,Q9H2P9;Q9H2P9-2;Q9H2P9-3;Q9H2P9-4;Q9H2P9-5;Q9H2P9-6,Q9H2P9;Q9H2P9-2;Q9H2P9-3;Q9H2P9-4;Q9H2P9-5;Q9H2P9-6,DPH5_HUMAN,DPH5
+,4.047486197,0.938882828,O94874,O94874;O94874-2;O94874-3,UFL1_HUMAN,UFL1
+,3.023287641,0.937646866,P16152,P16152;P16152-2,CBR1_HUMAN,CBR1
+,3.796729429,0.936805089,Q96D46,Q96D46,NMD3_HUMAN,NMD3
+,1.698334763,0.936611493,Q8N961;Q8N961-2,Q8N961;Q8N961-2,ABTB2_HUMAN,ABTB2
+,2.935138942,0.936274846,Q96D70,Q96D70,R3HD4_HUMAN,R3HDM4
+,3.108046022,0.935271581,P06748,P06748;P06748-2;P06748-3,NPM_HUMAN,NPM1
+,2.553793372,0.934665044,Q9H6S1;Q9H6S1-3;Q9H6S1-4;Q9H6S1-5,Q9H6S1;Q9H6S1-3;Q9H6S1-4;Q9H6S1-5,AZI2_HUMAN,AZI2
+,1.664500675,0.934497833,O75635;O75635-2,O75635;O75635-2,SPB7_HUMAN,SERPINB7
+,3.714847999,0.934455236,P04406,P04406;P04406-2,G3P_HUMAN,GAPDH
+,2.565926409,0.931559881,Q8N0W3;Q8N0W3-2,Q8N0W3;Q8N0W3-2,FCSK_HUMAN,FCSK
+,0.77245258,0.93020757,Q15773,Q15773,MLF2_HUMAN,MLF2
+,3.42216083,0.929698308,P22234;P22234-2,P22234;P22234-2,PUR6_HUMAN,PAICS
+,2.803062008,0.927999496,Q9UH65,Q9UH65,SWP70_HUMAN,SWAP70
+,3.003532334,0.927480062,O60884,O60884,DNJA2_HUMAN,DNAJA2
+,3.71201189,0.927236557,Q9Y266,Q9Y266,NUDC_HUMAN,NUDC
+,3.462502816,0.926769892,P31150,P31150,GDIA_HUMAN,GDI1
+,3.080608513,0.925856272,Q9Y4K4,Q9Y4K4,M4K5_HUMAN,MAP4K5
+,1.516501672,0.925652186,P09132,P09132,SRP19_HUMAN,SRP19
+,3.873770283,0.923428218,P54136,P54136;P54136-2,SYRC_HUMAN,RARS1
+,3.095337625,0.921918869,Q9Y3P9,Q9Y3P9;Q9Y3P9-2;Q9Y3P9-3,RBGP1_HUMAN,RABGAP1
+,3.386204934,0.921278954,Q6DT37,Q6DT37,MRCKG_HUMAN,CDC42BPG
+,2.739177124,0.920603434,Q9P0V9;Q9P0V9-2;Q9P0V9-3,Q9P0V9;Q9P0V9-2;Q9P0V9-3,SEP10_HUMAN,SEPTIN10
+,3.921457709,0.920438766,P04075,P04075;P04075-2,ALDOA_HUMAN,ALDOA
+,2.427740109,0.919155121,P52788,P52788;P52788-2,SPSY_HUMAN,SMS
+,2.56643013,0.917570114,Q6Y7W6;Q6Y7W6-3;Q6Y7W6-4;Q6Y7W6-5,Q6Y7W6;Q6Y7W6-3;Q6Y7W6-4;Q6Y7W6-5,GGYF2_HUMAN,GIGYF2
+,1.805641156,0.916870117,Q96EP5;Q96EP5-2,Q96EP5;Q96EP5-2,DAZP1_HUMAN,DAZAP1
+,1.957724333,0.916714986,P60866;P60866-2,P60866;P60866-2,RS20_HUMAN,RPS20
+,1.246063973,0.914710045,O95487;O95487-2;O95487-3,O95487;O95487-2;O95487-3,SC24B_HUMAN,SEC24B
+,2.787427714,0.914449692,Q8IYB1,Q8IYB1,M21D2_HUMAN,MB21D2
+,1.203644727,0.913233121,Q6UVJ0,Q6UVJ0,SAS6_HUMAN,SASS6
+,1.266828719,0.911537806,Q9NVA1;Q9NVA1-2;Q9NVA1-5,Q9NVA1;Q9NVA1-2;Q9NVA1-5,UQCC1_HUMAN,UQCC1
+,3.001893482,0.911252975,P30419,P30419;P30419-2,NMT1_HUMAN,NMT1
+,3.4492535,0.911169052,P12277,P12277,KCRB_HUMAN,CKB
+,2.651252213,0.909411112,P30622;P30622-1;P30622-2,P30622;P30622-1;P30622-2,CLIP1_HUMAN,CLIP1
+,1.571962821,0.908258438,Q15102,Q15102,PA1B3_HUMAN,PAFAH1B3
+,1.619034129,0.907870928,Q14746;Q14746-2,Q14746;Q14746-2,COG2_HUMAN,COG2
+,3.184668853,0.907194773,P50748,P50748,KNTC1_HUMAN,KNTC1
+,0.93219973,0.905373255,Q9Y5R8,Q9Y5R8,TPPC1_HUMAN,TRAPPC1
+,3.356897241,0.904762904,Q9BWD1,Q9BWD1;Q9BWD1-2,THIC_HUMAN,ACAT2
+,3.22724405,0.904580434,Q9UJX4,Q9UJX4;Q9UJX4-3,APC5_HUMAN,ANAPC5
+,4.084880913,0.903845469,Q7KZF4,Q7KZF4,SND1_HUMAN,SND1
+,0.834953913,0.901984533,Q9NRN9,Q9NRN9,METL5_HUMAN,METTL5
+,4.653685589,0.899157206,Q8IZ83,Q8IZ83,A16A1_HUMAN,ALDH16A1
+,1.070082612,0.898663839,Q8NB14;Q8NB14-2,Q8NB14;Q8NB14-2,UBP38_HUMAN,USP38
+,3.356276197,0.89860026,Q9NVK5;Q9NVK5-2,Q9NVK5;Q9NVK5-2,FGOP2_HUMAN,FGFR1OP2
+,2.956537925,0.897774378,Q8NFJ9;Q8NFJ9-2,Q8NFJ9;Q8NFJ9-2,BBS1_HUMAN,BBS1
+,2.028735803,0.897743861,Q9UIV1;Q9UIV1-2,Q9UIV1;Q9UIV1-2,CNOT7_HUMAN,CNOT7
+,2.702239384,0.897345861,Q8ND24,Q8ND24;Q8ND24-2,RN214_HUMAN,RNF214
+,1.641661815,0.897125244,Q8IYR2,Q8IYR2,SMYD4_HUMAN,SMYD4
